"STUDY_ID","REVIEWERS","INCLUDE","title","abstract","reviewer"
103,NA,"not vetted","Herbicide-resistant weeds from dryland agriculture in Argentina","We reviewed and performed a quantitative synthesis on herbicide-resistant weeds from rain-fed crops in Argentina. Twenty-four weed species distributed in the main extensive crops (soybean, maize, wheat, barley, oilseed rape, sunflower, chickpea and peanut) have evolved herbicide resistance. Of the total, 54% are grasses, 88% are annual species and 63% are cross-pollinated species. The most representative families were Poaceae with 54% resistant species, followed by Brassicaceae with 17%, and Asteraceae with 13%. Buenos Aires, Santa Fe and Cordoba were the provinces with the most documented cases of resistance (35%, 33% and 30%, respectively). The proportion of cases resistant to pre-emergence herbicides was 10%, whereas the proportion of cases resistant to post-emergence herbicides was 90%. Glyphosate was the herbicide with the highest incidence (92%) of resistance among weed species, followed by 29% of species that evolved resistance to ALS-inhibiting herbicides. Whereas resistance to auxin-like herbicides comprised 17% of the weed species, acetyl-CoA carboxylase (8%) and protoporphyrinogen oxidase (4%) inhibiting herbicides showed the least incidence of resistance evolution among weeds. The highest number of resistant species was identified in soybean (19), followed by maize (13), wheat/barley (10) and fallow (9). Weed species with a higher number of resistant populations to a higher number of herbicide mode of action were Amaranthus hybridus, A. palmeri, Lolium multiflorum and Raphanus sativus. The change in the production system since the mid-1990s, based on the use of herbicides (glyphosate mainly) to control weeds, is likely to account for the notorious increase in the average rate of evolution of herbicide-resistant weeds in Argentina.","Marta"
104,NA,"not vetted","A Framework for Identifying Selective Chemical Applications for IPM in Dryland Agriculture","Shifts to Integrated Pest Management (IPM) in agriculture are assisted by the identification of chemical applications that provide effective control of pests relative to broad-spectrum pesticides but have fewer negative effects on natural enemy (beneficial) groups that assist in pest control. Here, we outline a framework for identifying such applications and apply this framework to field trials involving the crop establishment phase of Australian dryland cropping systems. Several chemicals, which are not presently available to farmers in Australia, were identified as providing moderate levels of pest control and seedling protection, with the potential to be less harmful to beneficial groups including predatory mites, predatory beetles and ants. This framework highlights the challenges involved in chemically controlling pests while maintaining non-target populations when pest species are present at damaging levels.","Marta"
105,NA,"not vetted","Intensification of dryland farming in Mali through mechanisation of sowing, fertiliser application and weeding","This study focuses on the role of mechanised sowing and weeding in combination with seed priming and fertiliser microdosing in Mali. Mechanised sowing and weeding were based on using a combined donkey-drawn planter/weeder and a motorised planter/weeder. The research methods included studies of seed delivery in manual and mechanised sowing, field experiments on different levels of mechanization/intensification, labour studies on mechanisation and an economic assessment of the different levels of intensification. The average sorghum grain yield across three years increased by 352 kg ha(-1) (43.7% increase) by combining mechanisation with seed priming and microdosing of 0.2 g NPK 15-15-15 fertiliser per pocket compared to a control with manual sowing but without seed priming and microdosing. The labour demand (sowing and weeding) for manual, donkey-drawn and motorised operations was 184, 67 and 47 hours ha(-1), respectively. An economic analysis showed that the donkey-drawn planter/weeder is the appropriate mechanisation below six ha while above this land size it becomes increasingly interesting for the farmers to invest in a motorised planter. The use of mechanisation will result in earlier and uniform crop establishment, facilitate microdosing application, timelier weeding, higher yields, better economic return and reduced labour demand.","Marta"
106,NA,"not vetted","Adverse consequences of herbicide residues on legumes in dryland agriculture","Context or problem: Selective herbicides control weeds in cereal crops and break down over time, allowing safe planting of legumes in the following years. However due to climatic inconsistencies and changing farming practices, this is not always the case, and residues can inhibit formation of legume/rhizobia symbioses. Objective or research question: The objectives were to determine whether: i) exposure to triasulfuron, even at extremely low levels, reduces shoot and root growth and nodulation of five diverse and widely sown legume pasture cultivars in Australian farming systems; and ii) sowing legumes prior to recommended plant-back criteria being met for chlorsulfuron, triasulfuron herbicide, clopyralid, and pyroxasulfone herbicides results in unacceptable damage to subsequently sown pasture and crop legumes, causing reduced root and shoot growth, nodulation and N fixation. Methods: A series of glasshouse and field experiments explored herbicide residue impact on commonly used legumes in dryland farming systems. Results: A glasshouse study determined triasulfuron at concentration 0.000225 g a.i/ha, a (1/100,000) dilution of the label rate caused significant (p < 0.001) decrease in nodule count, root length, root, shoot weight for Trifolium spumosum cv. Bartolo and T. subterraneum cv. Dalkeith, and at 0.225 g a.i/ha and 2.25 g a.i/ha for all five cultivars tested. A bioassay assessed T. subterraneum cv. Dalkeith health when grown in field soil-cores taken 4, 7 and 10 months after herbicide application (chlorsulfuron, triasulfuron, clopyralid and pyroxasulfone) to a wheat crop. For all three, herbicide residues significantly decreased (p < 0.001) nodule number, shoot weight, root length and whole plant weight of T. subterraneum cv. Dalkeith compared to control. A field experiment assessed nodulation of five pasture and two crop legumes sown dry (dormant summer sowing), or following rainfall 10.5 months after initial herbicide application. Nodulation of all legume cultivars decreased in plots treated with clopyralid. Chlorsulfuron decreased nodulation for all cultivars except T. glanduliferum and T. subterraneum. Triasulfuron reduced nodulation for all cultivars except Ornithopus sativus and T. spumosum. Pyroxasulfone decreased nodulation of Biserrula pelecinus cv. Casbah and Lupinus angustifolius cv. Mandalup. Conclusions: Herbicide residues from preceding cereal crops reduced fitness and symbiotically fixed N in subsequently sown pasture or crop legumes. Implications or significance: Our study highlighted label plant-back recommendations should be strictly adhered to, despite conflict with modern farming approaches of dry or early sowing) to combat climate change. This outcome may consequently lower profitability and increase the carbon footprint of farming systems.","Marta"
107,NA,"not vetted","Maximum Attainable Wheat Yield and Resource-Use Efficiency in the Southern Great Plains","Maximum reported grain yields for hard red winter wheat (Triticum aestivum L.) in the southern Great Plains range from 6 to 8 Mg ha(-1) and are significantly lower than yields achieved in other regions of the world. The lack of empirical data for wheat under nonlimiting conditions in this region, however, suggests that maximum reported grain yields for the region might not represent maximum attainable yields. Our objective was to perform the agronomic characterization of wheat grown under nonlimiting conditions across the southern Great Plains. Four dryland and two irrigated fields were sown to 'Iba' winter wheat in the 2012-2013 growing season and repeated during 2013-2014 in central Oklahoma. Fields were intensively managed for fertility for maximum yield and freedom from weeds, insects, and disease. Aboveground dry matter at maturity ranged from 9.95 to 20.5 Mg ha(-1), but harvest index (HI) did not surpass 0.41 and grain yields ranged from 3.06 to 7.68 Mg ha(-1). The highest yield was achieved under irrigated conditions in 2013-2014, but one dryland site produced 7.11 Mg ha-1 grain in 2012-2013. Maximum radiation-use efficiency (RUE) ranged from 0.8 to 1.9 g MJ(-1) and water-use efficiency (WUE) from 7.8 to 12.6 kg ha(-1) mm(-1). The wheat characteristics measured in this study were near or above maximum values reported in the literature for the region, and our data provide empirical evidence to support maximum attainable wheat yields of 7.68 Mg ha-1 when wheat is grown under nonlimiting conditions in the southern Great Plains.","Marta"
108,NA,"not vetted","Russian thistle (Salsola tragus) postharvest control and plant dispersal","Russian thistle is one of the most important broadleaf weeds in the semiarid U.S. Pacific Northwest. It consumes soil water after wheat harvest, compromising the yield of the following crop. The objectives of this work were to determine the impact of post-wheat harvest herbicide application timing on Russian thistle control and of stubble height on Russian thistle postharvest control and plant dispersal. For the first objective, experiments were conducted at the Columbia Basin Agricultural Research Center, Adams, OR (CBARC), and the Lind Dryland Research Station, Lind, WA (LDRS), in 2020 and 2021. Herbicides evaluated included paraquat, glyphosate, and either bromoxynil + pyrasulfotole (CBARC) or bromoxynil + metribuzin (LDRS). The different post-wheat harvest application timings were 24 h and 1, 2, and 3 wk after harvest. For the second objective, two stubble heights (short and tall) were compared for their impact on control at CBARC and in a production field near Ione, OR. Paraquat provided the greatest control in all scenarios, with no differences in application timings or stubble height. Impacts of application timings were not clear for glyphosate or bromoxynil mixtures. For glyphosate treatments, control in short stubble was 11% greater than in tall stubble in both years. Control was also greater in short stubble for the bromoxynil + pyrasulfotole application in 2020. However, Russian thistle plant dispersal was greater in short stubble at both locations. At CBARC, plant dispersal in short stubble was 58%, compared to 18% in tall stubble. Near Ione, plant dispersal in flattened stubble was 88%, compared to 43% in nonflattened short stubble. Leaving tall stubble at harvest should be considered to reduce Russian thistle plant dispersal if the infestation is going to be left untreated after harvest; otherwise, short stubble might result in better Russian thistle control when using systemic herbicides, such as glyphosate.","Marta"
109,NA,"not vetted","Weed shift and community diversity in conservation and conventional agriculture systems in pigeonpea- castor systems under rainfed semi-arid tropics","Conservation agriculture (CA) is an alternative sustainable production system to conventional tillage system for resource conservation in rainfed agriculture. Weeds are the major constraints for adoption of CA in rainfed regions. A seven years study was done at ICAR- Central Research Institute for Dryland Agriculture (CRIDA), Hyderabad, India, to study the effects of different tillage practices and residue levels on weed shift, diversity and crop yields. It was observed that annual weed species were dominant in conventional tillage (CT) and reduced tillage (RT), whereas a shift towards perennials was observed in zero tillage (ZT). The CT recorded significantly lower weed density and weed biomass (12.89 m- 2 and 35.60 g m-2) over RT (17.33 m- 2 and 38.37 g m-2) and ZT (36.67 m- 2 and 69.58 g m-2) after seven years, respectively. A shift in weed species, higher weed density and weed biomass in dicots (Tridax procumbens L and Euphorbia hirta L. and a marginal decrease in monocots (Bulbostylis barbata, Digitaria sanguinalis L) was observed in ZT. The marginal decrease in monocots was due to higher precipitation immediately after herbicide application which reduced the control of weeds due to leaching. The anchored residues 10 and 30 cm recorded lower monocots and total weed count over No residue. The study suggests that integrated weed management (combination of herbicide and removal of chance weeds) and in RT are efficient strategies to minimise the weed infestation in CA and these methods not only reduce the over reliance on herbicides but also improve the productivity of pigeon pea (Cajanus cajan L.), castor (Ricinus communis) and the environmental performance of CA. ZT and RT recorded the highest Shannon index, Pielous evenness index and species richness over CT which indicates a higher weed species diversity in ZT as compared to CT. This study helps to improve the understanding of crop-weed communities and in the development of cost effective environmentally sound weed management strategies.","Marta"
110,NA,"not vetted","Effect of summer fallow management on crop yield: Field experiment and simulation analysis","Potential yield of a crop is limited by the factor which most restricts its productivity. In dryland cropping systems this factor is often the available soil water. Nitrogen fertiliser is also a high cost input in crop production systems. Conservation of these resources is essential to increase agricultural productivity and profitability. A field experiment and computer simulation modelling were conducted for the dryland farming system of south eastern Australia to investigate the effect of summer fallow management on growth and yield of canola (Brassica napes L.). A factorial experiment with two residual nitrogen levels and three residual soil water conditions was conducted. Soil water content and crop growth were monitored. At harvest, canola grain yield and above-ground biomass were measured. The biophysical model APSIM was used to analyse the effect of seasonal variation on crop yield by simulating canola grain yield at different residual water and nitrogen levels. The field experiment and simulation modelling indicated that in seasons with high in-crop rainfall, high residual soil water does not increase crop yield. However, residual nitrogen increases crop yield if in-crop rainfall is high. Irrespective of the in-crop rainfall, controlling summer weeds increases crop yield due to residual mineral N and/or residual soil water.","Marta"
111,NA,"not vetted","Supporting Beneficial Insects for Agricultural Sustainability: The Role of Livestock-Integrated Organic and Cover Cropping to Enhance Ground Beetle (Carabidae) Communities","Ground beetles (Carabidae) are beneficial insects providing ecosystem services by regulating insect pests and weed seeds. Despite several studies conducted on ground beetles worldwide, there is a lack of knowledge on how these insects are affected by differently managed organic systems (e.g., tillage-based versus grazed-based) compared to that of chemical-based no-tillage conventional cropping systems. In a 5-year (2013-2017) study, we assessed the ground beetle communities in cover crops and winter wheat (Triticum aestiviumL.) in Montana, USA, with three contrasting cropping systems: a chemically managed no-tillage, a tillage-based organic, and a livestock-integrated organic with reduced tillage. The first three years (i.e., 2013-2015) corresponded to the transition to organic period, while the last two (i.e., 2016-2017) were conducted in United States Department of Agriculture (USDA) organic-certified tillage-based and livestock-integrated organic systems. The experiment was designed with three management systems across three blocks as the whole plot variable and 5-year rotation of crop phases as the subplot variable. Using pitfall traps, we sampled ground beetles across all cover crop and winter wheat subplots for five years (n= 450). The data were analyzed using mixed effects models and PERMANOVA and visualized with non-metric multidimensional scaling ordination. Our study indicated that organically managed farms, whether tilled or grazed, enhance activity density, species richness, diversity, and evenness of ground beetles in the dryland row crop productions. Also, irrespective of farming system, cover crops supported higher species richness, diversity, and evenness of ground beetles than winter wheat. The ground beetle communities were mostly similar during the transition to organic period. However, during the established organic phase, cropping systems acted as contrasting ecological filters and beetle communities became dissimilar. Cover cropping affected ground beetle communities positively not only in organically managed systems but also in chemical-based conventional systems. Our study provides evidence supporting the adoption of ecologically-based cropping systems such as crop-livestock integration, organic farming, and cover cropping to enhance beneficial insects and their pest-regulation services.","Marta"
112,NA,"not vetted","Location, Root Proximity, and Glyphosate-Use History Modulate the Effects of Glyphosate on Fungal Community Networks of Wheat","Glyphosate is the most-used herbicide worldwide and an essential tool for weed control in no-till cropping systems. However, concerns have been raised regarding the long-term effects of glyphosate on soil microbial communities. We examined the impact of repeated glyphosate application on bulk and rhizosphere soil fungal communities of wheat grown in four soils representative of the dryland wheat production region of Eastern Washington, USA. Further, using soils from paired fields, we contrasted the response of fungal communities that had a long history of glyphosate exposure and those that had no known exposure. Soil fungal communities were characterized after three cycles of wheat growth in the greenhouse followed by termination with glyphosate or manual clipping of plants. We found that cropping system, location, year, and root proximity were the primary drivers of fungal community compositions, and that glyphosate had only small impacts on fungal community composition or diversity. However, the taxa that responded to glyphosate applications differed between rhizosphere and bulk soil and between cropping systems. Further, a greater number of fungal OTUs responded to glyphosate in soils with a long history of glyphosate use. Finally, fungal co-occurrence patterns, but not co-occurrence network characteristics, differed substantially between glyphosate-treated and non-treated communities. Results suggest that most fungi influenced by glyphosate are saprophytes that likely feed on dying roots.","Marta"
113,NA,"not vetted","Beyond Bird Feed: Proso Millet for Human Health and Environment","Domesticated in 8000-10,000 BP in northern China, proso millet (Panicum miliaceum L.) is the best adaptive rotational crop for semiarid central High Plains of the USA, where average annual precipitation is 356-407 mm. Proso millet has multiple benefits when consumed as human food. Proso millet is rich in minerals, dietary fiber, polyphenols, vitamins and proteins. It is gluten-free and therefore, ideal for the gluten intolerant people. Proso millet contains high lecithin which supports the neural health system. It is rich in vitamins (niacin, B-complex vitamins, folic acid), minerals (P, Ca, Zn, Fe) and essential amino acids (methionine and cysteine). It has a low glycemic index and reduces the risk of type-2 diabetes. Unfortunately, in the USA, it is mostly considered as bird feed, whereas it is mainly used as human food in many other countries. Besides human health benefits, proso millet has an impeccable environmental benefit. Proso millet possesses many unique characteristics (e.g., drought tolerance, short-growing season) which makes it a promising rotational crop for winter wheat-based dryland farming systems. Proso millet provides the most economical production system when used in a two years wheat/summer fallow cropping system in semiarid High Plains of the USA. It helps in controlling winter annual grass weeds, managing disease and insect pressure and preserving deep soil moisture for wheat. Proso millet can also be used as a rotational crop with corn or sorghum owing to its tolerance for atrazine, the primary herbicide used in corn and sorghum production systems. Proso millet certainly is a climate-smart, gluten-free, ancient, and small grain cereal, which is healthy to humans and the environment. The main challenge is to expand the proso millet market beyond bird feed into the human food industry. To overcome the challenge, unique proso millet varieties for human food and ready-to-use multiple food products must be developed. This requires successful collaboration among experts from diverse disciplines such as breeders, geneticists, food chemists and food industry partners.","Marta"
114,NA,"not vetted","Soil bacterial communities of wheat vary across the growing season and among dryland farming systems","Despite knowledge that management practices, seasonality, and plant phenology impact soil microbiota; farming system effects on soil microbiota are not often evaluated across the growing season. We assessed the bacterial diversity in soil around wheat roots through the spring and summer of 2016 in winter wheat (Triticum aestivium L.) in Montana, USA, from three contrasting farming systems: a chemically-managed no-tillage system, and two USDA-certified organic systems in their fourth year, one including tillage and one where sheep grazing partially offsets tillage frequency. Bacterial richness (range 605-1174 OTUs) and evenness (range 0.80-0.92) peaked in early June and dropped by late July (range 92-1190, 0.62-0.92, respectively), but was not different by farming systems. Organic tilled plots contained more putative nitrogen-fixing bacterial genera than the other two systems. Bacterial community similarities were significantly altered by sampling date, minimum and maximum temperature at sampling, bacterial abundance at date of sampling, total weed richness, and coverage of Taraxacum officinale, Lamium ampleuxicaule, and Thlaspi arvense. This study highlights that weed diversity, season, and farming management system all influence soil microbial communities. Local environmental conditions will strongly condition any practical applications aimed at improving soil diversity, especially in semiarid regions where abiotic stress and seasonal variability in temperature and water availability drive primary production. Thus, it is critical to incorporate or address seasonality in soil sampling for microbial diversity.","Marta"
115,NA,"not vetted","Landscape-scale cropping changes in the High Plains: economic and environmental implications","A global transformation in semi-arid cropping systems is occurring as dryland (non-irrigated) farmers in semi-arid regions shift from crop rotations reliant on year-long bare fallows, called summer fallow, to more intensively cropped systems. Understanding the rate of cropping system intensification at the landscape scale is critical to estimating the economic and environmental implications of this movement. Here, we use high-resolution satellite data to quantify dryland cropping patterns from 2008 to 2016 in the US High Plains. We use these estimates to scale up our previous field-level research in this region on soil carbon, herbicide use, yields, and profitability. Over the nine year study period, the High Plains witnessed a profound shift in cropping systems, as the historically dominant wheat-fallow system was replaced by more intensified rotations as the dominant systems by land area. Out of the 4 million hectares of non-irrigated cropland in the study area, this shift coincided with a 0.5 million-hectare decline in summer fallow and a concurrent increase in alternative (non-wheat) crops. We estimate that, from 2008 to 2016, these patterns resulted in a 0.53 Tg (9%) increase in annual grain production, 80 million USD (10%) increase in annual net farm operating income, substantial reductions in herbicide use, and an increase in C sequestration that corresponds to greenhouse gas reductions of 0.32 million metric tons of CO2 equivalents per year (MMTCO(2)e yr(-1)). We project each of these implications to a scenario of potential maximum 100% intensification and estimate that, relative to 2016 levels, herbicide use would be reduced by more than half, grain production would increase by 25%, net operating income would increase by 223 million USD (26%), and greenhouse gases would be reduced by an additional 0.8MMTCO(2)e yr(-1). The scale of cropping intensification in the High Plains and its environmental and economic impacts has important implications for other regions undergoing similar transformations, and for policy that can either support or hinder these shifts toward more sustainable cropping systems.","Marta"
116,NA,"not vetted","Exogenous utilization of nano-biomass of Carthamus oxyacantha to improve yield and drought tolerance of wheat under rainfed conditions","Carthamus oxyacantha is the noxious weed of Pothwar Region of Pakistan. This weed has excellent growing and surviving characteristics even under extreme stress conditions that may be due to its higher level of phenolic compounds. Similarly, utilization of nanotechnology is a novel and innovative field. Drought is threatening the productivity of wheat worldwide as a main environmental stress, especially in countries like Pakistan, where about 25% of cultivated area is rainfed. The Fourier Transform Infrared Spectroscopy spectrum of Carthamus oxyacantha nano-biomass showed the presence of seven functional groups (alcohols, phenols, alkanes, 1-amines, aromatics, aromatic amines and alkyl halides). Plant phenolic compounds can act as antioxidants, structural polymers (lignin), attractants (flavonoids and carotenoids), UV screens (flavonoids), signal compounds (salicylic acid and flavonoids) and defense response chemicals (tannins and phytoalexins). They also play a crucial role in the tolerance mechanisms against a wide range of stresses. So, it was hypothesized that the exogenous application of nano-biomass of aforesaid weed as catalytic agent may improve the drought tolerance of wheat and this technology will be proved as an environment friendly solution for drought prone areas. The nano biomass of the subject weed was prepared through top-down approach and was applied exogenously through petri dish, test tube, pot experiments and then under open field conditions at different crop growth stages of wheat. Results of petri dish, test tube and pot experiments showed positive effects of nanobiomass upto certain limits but affected negatively beyond 250 ppm. The results of field experiments showed that there were 55.55 and 68.75% increase in the crop growth rate of wheat in 2020 and 2021 by three applications of nanobiomass at 250 ppm compared to control. Similarly, 61.27 and 53.97% increase in the grain yield of wheat was recorded with nano-biomass application compared to control in 2020 and 2021 respectively. Similarly, there was 250% and 252% decrease in the proline accumulation where nano biomass was applied by three times at different growth stages of wheat as compared with control during 2020 and 2021 respectively which confirmed the presence of drought stress in control treatment but mitigation in treated plots. So, results of this study clearly exhibited that the application of this technology would be useful to mitigate drought stress under rainfed conditions and we can increase our wheat growth and production by following this technique under this changing climate. Moreover, the application of this technique is user and environment friendly. The study is also suggested to be evaluated for other crops.","Marta"
117,NA,"not vetted","Tillage and Cover Crop Systems Alter Soil Particle Size Distribution in Raised-Bed-and-Furrow Row-Crop Agroecosystems","Conservation alternatives that include no-tillage (NT) and cover crops (CCs) reduce soil erosion in row-crop agroecosystems. However, little information is available about how these alternatives affect soil textural properties responsible for soil fertility. This study evaluated the soil particle size distribution and volumetric water content after three years of consistent management in a raised bed system. There were four treatment systems in a dryland maize/soybean rotation on a silt loam soil (Oxyaquic Fraglossudalfs) that included: NT + CCs, conventional tillage (CT) + CCs, CT + winter weeds, and CT + bare soil in winter in northwest Mississippi. The NT + CC system retained 62% more coarse sand in the furrow than the other systems (2.1% compared to 1.3%; p = 0.02). Regardless of the location, the NT + CC system (2.5%) retained 39% more fine sand than the CT + CC system (1.8%; p = 0.01), suggesting that coarse and fine sands were being trapped in furrows combining NT + CC systems, minimizing their off-site transport. In furrows, CCs increased soil volumetric water content by 47% compared to other winter covers. In beds, NT + CCs increased bed water contents by 20% compared to CT + CCs (17.1 to 14.3%; p < 0.01). Implementing conservation alternatives may promote the retention of sand fractions in silty loam soils that are important in supporting soil fertility and crop sustainability.","Marta"
118,NA,"not vetted","Wastewater-recycled struvite as a phosphorus source in a wheat-soybean double-crop production system in eastern Arkansas","Fertilizer-phosphorus (P) sources are mainly derived from rock phosphate (RP), which is a finite, actively mined resource. With growing human populations globally, alternative P sources are vitally important to ensure future food security. Precipitation of the mineral struvite (MgNH4PO4 center dot 6H(2)O) from wastewater could be a potential alternative fertilizer-P option from crop production. The objective of this study was to evaluate the effects of chemically precipitated struvite (CPST), compared with triple superphosphate (TSP) and an unamended control (UC) treatment, and irrigation (irrigated and non-irrigated/dryland) on above- (dry matter, yield, and tissue-N, -P, and -Mg concentrations and uptake) and belowground (root tissue N, P, and Mg concentrations) soybean [Glycine max (L.) Merr.] and wheat (Triticum aestivum L.) response in a wheat-soybean, double-crop production system on a silt-loam soil (Aquic Fraglossudalfs) in eastern Arkansas. Soybean aboveground and wheat belowground Mg concentrations were 1.1 and 1.2 times, respectively, greater (p < .05) from CPST than from TSP, while soybean belowground Mg and wheat stem P concentrations were similar between CPST and TSP. Wheat stem Mg and belowground N concentrations were 1.1 times greater (p < .05) from TSP than from CPST. Soybean seed P and Mg concentrations were 1.2 and 1.1 times, respectively, greater (p < .05) under irrigated than under dryland management. Results substantiate the use of CPST as a potential alternative fertilizer-P and -Mg source on a silt-loam soil for crop production. Using wastewater-recovered nutrients in a production-scale setting may offset the need for energy-intensive commercial fertilizers to supply essential plant nutrients.","Marta"
119,NA,"not vetted","EPSPS Gene Copy Number and Whole-Plant Glyphosate Resistance Level in Kochia scoparia","Glyphosate-resistant (GR) Kochia scoparia has evolved in dryland chemical fallow systems throughout North America and the mechanism of resistance involves 5-enolpyruvylshikimate-3-phosphate synthase (EPSPS) gene duplication. Agricultural fields in four states were surveyed for K. scoparia in 2013 and tested for glyphosate-resistance level and EPSPS gene copy number. Glyphosate resistance was confirmed in K. scoparia populations collected from sugarbeet fields in Colorado, Wyoming, and Nebraska, and Montana. Glyphosate resistance was also confirmed in K. scoparia accessions collected from wheat-fallow fields in Montana. All GR samples had increased EPSPS gene copy number, with median population values up to 11 from sugarbeet fields and up to 13 in Montana wheat-fallow fields. The results indicate that glyphosate susceptibility can be accurately diagnosed using EPSPS gene copy number.","Marta"
120,NA,"not vetted","Validated simulation of a long-term cropping experiment reveals a pathway for improved productivity","Long-term farming system experiments with comprehensive soil, plant and meteorological data combined with well-validated dynamic farming system models are a powerful combination to evaluate the production and environmental implications of novel innovations in agriculture. A current deficiency is the lack of adequate comprehensive validations for long term crop sequences that capture the dynamics of soil and crop responses without resetting soil conditions, especially for soil mineral nitrogen (Min-N). This reduces confidence in the outcome of scenario analyses for proposed improvements in productivity and sustainability given the central role played by nitrogen (N) dynamics in both processes. We used data from a 30-year long-term experiment (LTE) to validate the APSIM model and achieved excellent predictions for soil and crop responses including the dynamics of Min-N without resetting. A critical step was to ensure that the parameters required for the pools of soil organic matter matched those measured at the site over the full rooting depth (1.6 m) rather than limiting measured values to surface layers and relying on default parameters in deeper layers. In subsequent scenario analyses of agronomic innovations including fallow weed control, earlier sowing and improved N fertiliser strategies, the validated model predicted potential increases in average annual productivity of 1.2 t ha-1 (30%), WUE of 2.0 kg ha-1 mm-1 (30%) and NUE of 13 kg kg-1 (21%) and reductions in average annual N leaching of 8 kg N ha-1 (-33%) and soil organic matter loss of 3.1 t ha-1 (31%) (0-10 cm) could be achieved with specific combinations of synergistic innovations previously investigated separately in shorter-term experiments. Our study represents a rare case of model validation capturing the dynamics of soil water, Min-N, biomass and grain yield in a long-term diverse crop sequence to provide confidence in scenario analyses of production and environmental consequences of agronomic innovations. LTEs provide a valuable resource for such validation, while conclusions drawn from simulation studies that lack comprehensive validation must be considered with caution.","Marta"
121,NA,"not vetted","Prediction of potential invasion of two weeds of the genus Avena in Asia under climate change based on Maxent","Avena sterilis L. (A. sterilis) and Avena ludoviciana Dur. (A. ludoviciana) are extremely invasive weeds with strong competitive ability and multiple transmission routes. Both species can invade a variety of dryland crops, including wheat, corn, and beans. Asia, as the world's major food-producing continent, will experience significant losses to agricultural production if it is invaded by these weeds on a large scale. This study used the MaxEnt model and ArcGIS to map the distribution of suitable habitats of the two species in Asia under climate change conditions. The constructed model comprised four levels, with a total of 25 index-level indicator factors used to evaluate the invasion risk of the two species. The results showed that the distribution of suitable habitats for both Avena species was highly dependent on precipitation and temperature. Under climate warming conditions, although overall the total suitable area is predicted to decrease compared to the current period, there are still moderately or highly suitable areas. Asian countries need to provide early warning for areas with significant increases in moderate and highly suitable zones for these two species of weeds under the background of climate change. If there is already an invaded area or if the suitability of the original area is increased, this should be closely monitored, and control measures should be taken to prevent further spread and deterioration.","Marta"
122,NA,"not vetted","Forecasting Model for Brown Wheat Mite, Petrobia latens (Muller) on Rainfed Wheat and Distribution in North-West India.","Brown wheat mite (Muller) (Family Tetranychidae), is a serious pest of rainfed wheat in India. Its infestation is Petrobia latens confined to relatively dry regions. It remains active during winter season with peak activity in March. In current study, mite population was recorded in wheat fields from 2004 to 2022 at Ludhiana, India. The population was recorded at 7 days interval, from 30 days after sowing till crop harvest and, correlated with meteorological data through multi-linear models fitted using the REG procedure in SAS model. In addition, periodic surveillance was also carried out in rainfed areas of Punjab-Himachal Pradesh border areas and field areas of Rajasthan. The results revealed that, in general, mite population starts increasing from January-February onwards, reached highest in March and, declined thereafter near crop harvest in April. The mite population showed a positive correlation with maximum and minimum temperature, relative humidity and sunshine, and a negative correlation with rainfall. A distribution map of was prepared. The incidence of brown wheat mite was P. latens observed on other crops also, including spices, weeds and pulses. The natural enemies belonging to family Anystidae, Phytoseiidae grubs and adults of Coccinellidae were also recorded","Marta"
123,NA,"not vetted","Weed Seed Bank Diversity in Dryland Cereal Fields: Does it Differ Along the Field and Between Fields with Different Landscape Structure?","In this work, we aimed to test whether taxonomic diversity and functional diversity and the values of functional traits of the weed seed bank varied across the field, from margins to the core, and between fields embedded in distinct landscape structures. We sampled the seed bank of 47 conventionally managed cereal fields from two Mediterranean regions in Spain. In each field, three positions were selected: Margin, edge and core, and soil properties were measured for each position. Landscape structure was quantified for each field as the percentage of arable land in the surrounding 1 km radius circular sector. Seed bank diversity was characterized at the taxonomic (species richness, exponential Shannon index, and evenness) and functional levels (Rao's quadratic entropy index and four corner analysis). For functional diversity, eight functional traits related to the whole plant life cycle were considered. Results showed a slight response of increasing taxonomic diversity from the core of the fields to the margins. Functional diversity was extremely low, indicating high similarity among species in terms of functional traits. Species in the seed bank were mostly therophytes, shorter than the crop plants, small seeded, flowering between the herbicide application of late winter and crop harvest, and showed seed dispersal by gravity or wind. This trait syndrome allows persistence in intensively managed arable lands. The similarity between fields in terms of functional diversity of the seed bank and in species traits may suggest that the intensity of management practices was similar across the fields. Moreover, it emphasizes that an increase in landscape heterogeneity, if based on other intensively managed cropping systems, may not be sufficient to augment functional diversity of weed communities. Therefore, in these areas, the seed bank could restore weed taxonomic diversity following changes in management practices, but functional diversity would still remain limited.","Marta"
